	Epic	Year	Reporting date	Tangible assets	Intangible asssets and goodwill	Investments and other non-current assets	Total non-current assets	Inventory / Work in progress	Trade and other receivables	Cash and Equivalents	Other current assets and asset held for resale	Total of all ASSETS	Short term liabilities	Long term liabilities	Other liabilites / pension etc	Total of all LIABILITIES		Net assets	Share Capital	Minority Interests	Retained earnings	Share premium account	Other Equity	Total EQUITY	Cash from operating activities	Cashflow before financing	Increase / Decrease in Cash	Turnover	Cost of sales	Gross Profit	Operating Profit	Pre-Tax profit	Profit / Loss for the year
3	RSA	2014	31 Dec 2014	151	800	13217	14168	0	3174	1011	3665	22018	0	0	16842	16842		5176	0	108	0	0	5068	5176	233	-638	34	8070	0	0	-15	60	76
4	RSA	2013	31 Dec 2013	160	1103	12634	13897	0	3593	1162	3278	21930	0	0	18916	18916		3014	0	121	0	0	2893	3014	456	48	-111	9258	0	0	-117	-244	-338
0	RSE	2017	31 Dec 2017	0	0	1742	1742	0	1	1	0	1744	1	0	0	1		1743	1318	0	426	0	0	1743	-4	-2	-2	48	0	0	45	45	45
1	RSE	2016	31 Dec 2016	0	0	1695	1695	0	1	3	0	1699	1	0	0	1		1699	1318	0	381	0	0	1699	-4	1	1	356	0	0	352	351	351
2	RSE	2015	31 Dec 2015	0	0	1345	1345	0	1	3	0	1348	1	0	0	1		1347	1318	0	30	0	0	1347	-4	-102	-3	13	0	0	9	8	8
3	RSE	2014	31 Dec 2014	0	0	1234	1234	0	1	6	0	1241	1	0	0	1		1240	1219	0	21	0	0	1240	-26	-106	-6	24	0	0	20	21	21
4	RSE	2013	31 Dec 2013	0	0	1130	1130	0	1	12	0	1142	2	1	0	3		1139	1138	0	0	1	0	1139	2	-1129	12	0	0	0	-2	1	1
0	RSW	2017	30 Jun 2017	228	55	53	336	88	138	52	31	644	88	112	0	200		444	15	-1	451	0	-21	444	115	66	30	537	251	285	117	117	89
1	RSW	2016	30 Jun 2016	214	61	47	322	95	115	31	35	598	77	140	0	217		381	15	-3	420	0	-50	381	55	-10	-44	437	218	218	80	80	69
2	RSW	2015	30 Jun 2015	170	58	34	261	78	101	82	43	565	63	74	0	137		429	15	-3	403	0	14	429	132	67	37	495	221	274	144	144	121
3	RSW	2014	30 Jun 2014	141	57	37	235	63	82	44	35	458	40	67	0	108		351	15	-2	316	0	22	351	60	43	13	356	179	177	70	96	86
4	RSW	2013	30 Jun 2013	118	56	34	208	65	68	27	27	394	44	74	0	118		277	15	-1	262	0	2	277	80	34	5	347	165	182	82	84	69
0	RTO	2017	31 Dec 2017	390	1220	633	2244	84	450	310	20	3108	714	1460	0	2174		934	18	0	2757	7	-1849	934	380	365	201	2412	0	0	292	714	683
1	RTO	2016	31 Dec 2016	416	1000	304	1719	80	383	160	200	2543	680	1503	0	2182		361	18	0	2099	7	-1764	361	363	63	-5	2168	0	0	232	209	168
2	RTO	2015	31 Dec 2015	477	818	267	1562	56	330	103	111	2161	853	1096	0	1949		212	18	-0	1956	7	-1769	212	320	-212	-88	1759	0	0	188	159	124
3	RTO	2014	31 Dec 2014	506	431	223	1160	59	315	197	58	1788	516	1172	0	1688		100	18	-0	1847	7	-1772	100	268	269	65	1741	0	0	202	163	262
4	RTO	2013	31 Dec 2013	537	425	106	1068	64	417	144	301	1994	1041	1185	0	2226		-232	18	0	1533	7	-1790	-232	248	19	-78	2327	0	0	171	123	39
0	RWI	2018	31 Mar 2018	623	606	227	1456	23	258	64	21	1823	546	894	0	1440		382	80	5	-127	377	46	382	122	48	-12	1566	1348	218	-32	-50	-48
1	RWI	2017	31 Mar 2017	587	603	230	1421	20	234	75	19	1769	485	846	0	1331		438	80	5	-63	377	39	438	23	31	38	779	697	83	-39	-61	-61
2	RWI	2016	31 Mar 2016	297	195	179	670	7	122	35	13	847	230	434	0	665		183	40	-2	20	100	24	183	67	73	-29	614	518	95	10	-3	-4
3	RWI	2015	31 Mar 2015	283	174	281	737	7	121	61	35	961	340	433	0	772		189	40	-2	40	100	11	189	50	-50	-40	599	528	72	-12	-21	-17
4	RWI	2014	31 Mar 2014	327	213	209	748	9	139	105	13	1015	233	509	0	742		274	40	-0	97	100	37	274	72	1	31	636	536	101	23	8	-28
